id,dose,happiness,puppy_love
72kfu0,No puppies,3,4
2l47nl,No puppies,2,1
uev2x2,No puppies,5,5
fbnym1,No puppies,2,1
i3d8d1,No puppies,2,2
lg6i36,No puppies,2,2
22o7c9,No puppies,7,7
5223ie,No puppies,2,4
v596m4,No puppies,4,5
w36156,15 mins,7,5
rdqvx6,15 mins,5,3
vm94r0,15 mins,3,1
nd241u,15 mins,4,2
8i423t,15 mins,4,2
mxjl12,15 mins,7,6
wnjf54,15 mins,5,4
26nx21,15 mins,4,2
8486wm,30 mins,9,1
46ijm4,30 mins,2,3
2i965f,30 mins,6,5
wrl5w6,30 mins,3,4
764i23,30 mins,4,3
6qgv7q,30 mins,4,3
41kl44,30 mins,4,2
rtm226,30 mins,6,0
u3g6b2,30 mins,4,1
60yb73,30 mins,6,3
o4j585,30 mins,2,0
genuvm,30 mins,8,1
4sx8wg,30 mins,5,0
